;HGHT;vx;vy;v;theta
0;50981.49492950582;-5.5554962158203125;18.060470581054688;18.89561154906439;287.09817409405525
1;46381.58676020455;-7.0015106201171875;-2.054290771484375;7.296660985506976;16.35204689386029
2;43690.812974402405;-1.8159637451171875;-12.410858154296875;12.543010980209548;81.67552210391227
3;40300.83891730332;-2.026397705078125;-23.2774658203125;23.365502405789663;85.02471321935008
4;38067.92008940493;-3.5868377685546875;-19.075469970703125;19.4097645472872;79.35078828606487
5;35700.93074800205;-3.9409942626953125;-6.501678466796875;7.60284543208709;58.77783943031966
6;31101.022578700788;-6.957550048828125;6.796478271484375;9.726233576092417;315.6709533359692
7;28410.24879289865;3.70001220703125;9.162002563476562;9.880909943184959;248.00901681264276
8;19997.747646674885;-1.76483154296875;4.252685546875;4.604341943824001;292.5380712291195
9;18286.663288688727;-1.2664337158203125;-1.1929931640625;1.739852593200441;43.289608161179785
10;16349.164539127058;0.0795745849609375;0.9888763427734375;0.9920728480654405;265.39933891957617
11;15068.43408844083;4.6587371826171875;12.45013427734375;13.293219160932754;249.48456692560194
12;13980.876108003831;7.95745849609375;13.800643920898438;15.930439992306729;240.03222844887205
13;13031.463421024706;7.773651123046875;4.6971588134765625;9.082563113013226;211.142092891315
14;12186.233809815114;10.857254028320312;4.26031494140625;11.663200608557112;201.42471524968633
15;11422.653772607859;8.789077758789062;7.8097686767578125;11.757566697004446;221.6235419128176
16;10724.956379105708;1.8068389892578125;11.166213989257812;11.311454459396415;260.8084654300942
17;9484.08330503382;-1.9957733154296875;6.322479248046875;6.629996603963277;287.5189833518151
18;8400.830126218236;-3.0810394287109375;2.971923828125;4.280786750288851;316.0327481013025
19;7436.446907277765;-3.84539794921875;0.9763031005859375;3.96739878661945;345.75424910675247
20;6565.223556327258;-4.9216156005859375;-1.0963592529296875;5.042251851248152;12.558390384453446
21;5769.170449256053;-6.5199432373046875;-0.6877899169921875;6.556120406733791;6.021869917684512
22;5035.175858656992;-5.6784820556640625;-0.2194366455078125;5.682720378295106;2.213010576042109
23;4353.369164493368;-2.86712646484375;2.4911956787109375;3.7982193295063236;319.0131986827503
24;3716.121737506397;-0.5503692626953125;4.90435791015625;4.93514263585481;276.4029695138592
25;3117.4077480225733;-1.38818359375;2.2167816162109375;2.615563882593473;302.0554470971946
26;2552.379125383939;-1.7241058349609375;-1.2641754150390625;2.137914967938514;36.25018833034301
27;2281.230098665641;-1.289825439453125;-1.922393798828125;2.3150048773238634;56.14046035262925
28;2017.0736132032437;-1.256439208984375;-2.8682403564453125;3.131364275873188;66.34406833742162
29;1759.5190450601187;-1.44561767578125;-3.7326507568359375;4.002810529745204;68.82912101299752
30;1508.2086379338853;-1.645751953125;-4.13116455078125;4.446911291767174;68.27890762117886
31;1262.8138620852963;-2.065277099609375;-3.8606414794921875;4.378346963335197;61.85513525791788
32;1023.0322681498307;-1.5269775390625;-2.50726318359375;2.9356479824062753;58.657680754174805
33;788.5847568112749;-1.0839996337890625;-1.621734619140625;1.950661011291816;56.24044586213017
34;559.2131997115586;-0.9462738037109375;-1.6987152099609375;1.9444967153847799;60.879890982678944
35;334.67835843684855;-1.0286865234375;-1.4951171875;1.8148199271166934;55.47083453467917
36;114.75805761164665;-1.0367431640625;-0.8689727783203125;1.3527564739050584;39.96891611282399
